"description","docUrl","element","version","prefix","namespace","xsd","xslt","type"
"Renovación y sustitución de vehículos 1.0","https://www.sat.gob.mx/consulta/05041/si-recibes-un-estimulos-por-la-renovacion-del-parque-vehicular-del-autotransporte-genera-tus-facturas-con-complemento-de-renovacion-y-sustitucion-de-vehiculo","renovacionysustitucionvehiculos","1.0","decreto","http://www.sat.gob.mx/renovacionysustitucionvehiculos","http://www.sat.gob.mx/sitio_internet/cfd/renovacionysustitucionvehiculos/renovacionysustitucionvehiculos.xsd","http://www.sat.gob.mx/sitio_internet/cfd/renovacionysustitucionvehiculos/renovacionysustitucionvehiculos.xslt","Complemento"
"Certificado de destrucción 1.0","https://www.sat.gob.mx/consulta/44950/genera-tus-facturas-electronicas-con-el-complemento-de-certificado-de-destruccion","certificadodedestruccion","1.0","destruccion","http://www.sat.gob.mx/certificadodestruccion","http://www.sat.gob.mx/sitio_internet/cfd/certificadodestruccion/certificadodedestruccion.xsd","http://www.sat.gob.mx/sitio_internet/cfd/certificadodestruccion/certificadodedestruccion.xslt","Complemento"
"Obras de arte plásticas y antigüedades 1.0","https://www.sat.gob.mx/consulta/92945/si-realizas-venta-de-obras-de-arte-plasticas-y-antiguedades-genera-tus-facturas-electronicas-con-este-complemento","obrasarteantiguedades","1.0","obrasarte","http://www.sat.gob.mx/arteantiguedades","http://www.sat.gob.mx/sitio_internet/cfd/arteantiguedades/obrasarteantiguedades.xsd","http://www.sat.gob.mx/sitio_internet/cfd/arteantiguedades/obrasarteantiguedades.xslt","Complemento"
"INE 1.1","https://www.sat.gob.mx/consulta/09695/genera-tus-facturas-con-el-complemento-del-ine-version-1.1","INE","1.1","ine","http://www.sat.gob.mx/ine","http://www.sat.gob.mx/sitio_internet/cfd/ine/ine11.xsd","http://www.sat.gob.mx/sitio_internet/cfd/ine/ine11.xslt","Complemento"
"INE 1.0","https://www.sat.gob.mx/consulta/09695/genera-tus-facturas-con-el-complemento-del-ine-version-1.1","INE","1.0","ine","http://www.sat.gob.mx/ine","http://www.sat.gob.mx/sitio_internet/cfd/ine/ine10.xsd","http://www.sat.gob.mx/sitio_internet/cfd/ine/ine10.xslt","Complemento"
"Comercio Exterior 2.0","https://www.sat.gob.mx/consultas/61165/comprobante-de-comercio-exterior","ComercioExterior","2.0","cce20","http://www.sat.gob.mx/ComercioExterior20","http://www.sat.gob.mx/sitio_internet/cfd/ComercioExterior20/ComercioExterior20.xsd","http://www.sat.gob.mx/sitio_internet/cfd/ComercioExterior20/ComercioExterior20.xslt","Complemento"
"Comercio Exterior 1.1","https://www.sat.gob.mx/consultas/61165/comprobante-de-comercio-exterior","ComercioExterior","1.1","cce11","http://www.sat.gob.mx/ComercioExterior11","http://www.sat.gob.mx/sitio_internet/cfd/ComercioExterior11/ComercioExterior11.xsd","http://www.sat.gob.mx/sitio_internet/cfd/ComercioExterior11/ComercioExterior11.xslt","Complemento"
"Comercio Exterior 1.0","https://www.sat.gob.mx/consultas/61165/comprobante-de-comercio-exterior","ComercioExterior","1.0","cce","http://www.sat.gob.mx/ComercioExterior","http://www.sat.gob.mx/sitio_internet/cfd/ComercioExterior/ComercioExterior10.xsd","http://www.sat.gob.mx/sitio_internet/cfd/ComercioExterior/ComercioExterior10.xslt","Complemento"
"Recepción de pagos 2.0","https://www.sat.gob.mx/consultas/92764/comprobante-de-recepcion-de-pagos","Pagos","2.0","pago20","http://www.sat.gob.mx/Pagos20","http://www.sat.gob.mx/sitio_internet/cfd/Pagos/Pagos20.xsd","http://www.sat.gob.mx/sitio_internet/cfd/Pagos/Pagos20.xslt","Complemento"
"Recepción de pagos 1.0","https://www.sat.gob.mx/consultas/92764/comprobante-de-recepcion-de-pagos","Pagos","1.0","pago10","http://www.sat.gob.mx/Pagos","http://www.sat.gob.mx/sitio_internet/cfd/Pagos/Pagos10.xsd","http://www.sat.gob.mx/sitio_internet/cfd/Pagos/Pagos10.xslt","Complemento"
"Gastos Hidrocarburos 1.0","https://www.sat.gob.mx/consulta/50282/conoce-los-complementos-para-consorcios-en-materia-de-hidrocarburos","GastosHidrocarburos","1.0","gceh","http://www.sat.gob.mx/GastosHidrocarburos10","http://www.sat.gob.mx/sitio_internet/cfd/GastosHidrocarburos10/GastosHidrocarburos10.xsd","http://www.sat.gob.mx/sitio_internet/cfd/GastosHidrocarburos10/GastosHidrocarburos10.xslt","Complemento"
"Ingresos Hidrocarburos 1.0","https://www.sat.gob.mx/consulta/50282/conoce-los-complementos-para-consorcios-en-materia-de-hidrocarburos","IngresosHidrocarburos","1.0","ieeh","http://www.sat.gob.mx/IngresosHidrocarburos10","http://www.sat.gob.mx/sitio_internet/cfd/IngresosHidrocarburos10/IngresosHidrocarburos.xsd","http://www.sat.gob.mx/sitio_internet/cfd/IngresosHidrocarburos10/IngresosHidrocarburos.xslt","Complemento"
"Carta Porte 1.0","https://www.sat.gob.mx/consultas/68823/complemento-carta-porte-","CartaPorte","1.0","cartaporte","http://www.sat.gob.mx/CartaPorte","http://www.sat.gob.mx/sitio_internet/cfd/CartaPorte/CartaPorte.xsd","http://www.sat.gob.mx/sitio_internet/cfd/CartaPorte/CartaPorte.xslt","Complemento"
"Carta Porte 2.0","https://www.sat.gob.mx/consultas/68823/complemento-carta-porte-","CartaPorte","2.0","cartaporte20","http://www.sat.gob.mx/CartaPorte20","http://www.sat.gob.mx/sitio_internet/cfd/CartaPorte/CartaPorte20.xsd","http://www.sat.gob.mx/sitio_internet/cfd/CartaPorte/CartaPorte20.xslt","Complemento"
"Carta Porte 3.0","http://omawww.sat.gob.mx/tramitesyservicios/Paginas/complemento_carta_porte.htm","CartaPorte","3.0","cartaporte30","http://www.sat.gob.mx/CartaPorte30","http://www.sat.gob.mx/sitio_internet/cfd/CartaPorte/CartaPorte30.xsd","http://www.sat.gob.mx/sitio_internet/cfd/CartaPorte/CartaPorte30.xslt","Complemento"
"Carta Porte 3.1","http://omawww.sat.gob.mx/tramitesyservicios/Paginas/complemento_carta_porte.htm","CartaPorte","3.1","cartaporte31","http://www.sat.gob.mx/CartaPorte31","http://www.sat.gob.mx/sitio_internet/cfd/CartaPorte/CartaPorte31.xsd","http://www.sat.gob.mx/sitio_internet/cfd/CartaPorte/CartaPorte31.xslt","Complemento"
"Instituciones educativas privadas","https://www.sat.gob.mx/consulta/54569/complemento-para-facturas-electronicas-de-instituciones-educativas","instEducativas","1.0","iedu","http://www.sat.gob.mx/iedu","http://www.sat.gob.mx/sitio_internet/cfd/iedu/iedu.xsd","http://www.sat.gob.mx/sitio_internet/cfd/iedu/iedu.xslt","ComplementoConcepto"
"Venta de vehículos 1.1","https://www.sat.gob.mx/consulta/54642/complemento-para-facturas-electronicas-de-venta-de-vehiculos-nuevos","VentaVehiculos","1.1","ventavehiculos","http://www.sat.gob.mx/ventavehiculos","http://www.sat.gob.mx/sitio_internet/cfd/ventavehiculos/ventavehiculos11.xsd","http://www.sat.gob.mx/sitio_internet/cfd/ventavehiculos/ventavehiculos11.xslt","ComplementoConcepto"
"Venta de vehículos 1.0","https://www.sat.gob.mx/consulta/54642/complemento-para-facturas-electronicas-de-venta-de-vehiculos-nuevos","VentaVehiculos","1.0","ventavehiculos","http://www.sat.gob.mx/ventavehiculos","http://www.sat.gob.mx/sitio_internet/cfd/ventavehiculos/ventavehiculos.xsd","http://www.sat.gob.mx/sitio_internet/cfd/ventavehiculos/ventavehiculos.xslt","ComplementoConcepto"
"Concepto por cuenta de terceros 1.1","https://www.sat.gob.mx/consulta/50103/genera-tu-factura-con-el-complemento-concepto-por-cuenta-de-terceros","PorCuentadeTerceros","1.1","terceros","http://www.sat.gob.mx/terceros","http://www.sat.gob.mx/sitio_internet/cfd/terceros/terceros11.xsd","http://www.sat.gob.mx/sitio_internet/cfd/terceros/terceros11.xslt","ComplementoConcepto"
"Acreditamiento del IEPS 1.0","https://www.sat.gob.mx/consulta/80265/complemento-concepto-acreditamiento-del-ieps","acreditamientoIEPS","1.0","aieps","http://www.sat.gob.mx/acreditamiento","http://www.sat.gob.mx/sitio_internet/cfd/acreditamiento/AcreditamientoIEPS10.xsd","http://www.sat.gob.mx/sitio_internet/cfd/acreditamiento/AcreditamientoIEPS10.xslt","ComplementoConcepto"
"Arrendamiento en fideicomiso","https://www.sat.gob.mx/consulta/13847/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-por-arrendamiento-en-fideicomiso","Arrendamientoenfideicomiso","1.0","arrendamientoenfideicomiso","http://www.sat.gob.mx/esquemas/retencionpago/1/arrendamientoenfideicomiso","http://www.sat.gob.mx/esquemas/retencionpago/1/arrendamientoenfideicomiso/arrendamientoenfideicomiso.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/arrendamientoenfideicomiso/arrendamientoenfideicomiso.xslt","RetencionComplemento"
"Dividendos","https://www.sat.gob.mx/consulta/64730/complemento-de-dividendos","Dividendos","1.0","dividendos","http://www.sat.gob.mx/esquemas/retencionpago/1/dividendos","http://www.sat.gob.mx/esquemas/retencionpago/1/dividendos/dividendos.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/dividendos/dividendos.xslt","RetencionComplemento"
"Enajenación de acciones","https://www.sat.gob.mx/consulta/64886/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-por-la-enajenacion-de-acciones","EnajenaciondeAcciones","1.0","enajenaciondeacciones","http://www.sat.gob.mx/esquemas/retencionpago/1/enajenaciondeacciones","http://www.sat.gob.mx/esquemas/retencionpago/1/enajenaciondeacciones/enajenaciondeacciones.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/enajenaciondeacciones/enajenaciondeacciones.xslt","RetencionComplemento"
"Fideicomiso no empresarial","https://www.sat.gob.mx/consulta/65555/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-por-fideicomiso-no-empresarial","Fideicomisonoempresarial","1.0","fideicomisonoempresarial","http://www.sat.gob.mx/esquemas/retencionpago/1/fideicomisonoempresarial","http://www.sat.gob.mx/esquemas/retencionpago/1/fideicomisonoempresarial/fideicomisonoempresarial.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/fideicomisonoempresarial/fideicomisonoempresarial.xslt","RetencionComplemento"
"Intereses","https://www.sat.gob.mx/consulta/65043/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-por-retenciones","Intereses","1.0","intereses","http://www.sat.gob.mx/esquemas/retencionpago/1/intereses","http://www.sat.gob.mx/esquemas/retencionpago/1/intereses/intereses.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/intereses/intereses.xslt","RetencionComplemento"
"Intereses hipotecarios","https://www.sat.gob.mx/consulta/37371/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-por-intereses-hipotecarios","Intereseshipotecarios","1.0","intereseshipotecarios","http://www.sat.gob.mx/esquemas/retencionpago/1/intereseshipotecarios","http://www.sat.gob.mx/esquemas/retencionpago/1/intereseshipotecarios/intereseshipotecarios.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/intereseshipotecarios/intereseshipotecarios.xslt","RetencionComplemento"
"Operaciones con derivados","https://www.sat.gob.mx/consulta/65767/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-por-operaciones-con-derivados","operacionesconderivados","1.0","operacionesderivados","http://www.sat.gob.mx/esquemas/retencionpago/1/operacionesconderivados","http://www.sat.gob.mx/esquemas/retencionpago/1/operacionesconderivados/operacionesconderivados.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/operacionesconderivados/operacionesconderivados.xslt","RetencionComplemento"
"Pagos a extranjeros","https://www.sat.gob.mx/consulta/65199/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-a-extranjeros","Pagosaextranjeros","1.0","pagosaextranjeros","http://www.sat.gob.mx/esquemas/retencionpago/1/pagosaextranjeros","http://www.sat.gob.mx/esquemas/retencionpago/1/pagosaextranjeros/pagosaextranjeros.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/pagosaextranjeros/pagosaextranjeros.xslt","RetencionComplemento"
"Planes de retiro 1.1","https://www.sat.gob.mx/consulta/65672/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-por-planes-de-retiro","Planesderetiro","1.1","planesderetiro11","http://www.sat.gob.mx/esquemas/retencionpago/1/planesderetiro11","http://www.sat.gob.mx/esquemas/retencionpago/1/planesderetiro11/planesderetiro11.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/planesderetiro11/planesderetiro11.xslt","RetencionComplemento"
"Planes de retiro 1.0","https://www.sat.gob.mx/consulta/65672/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-por-planes-de-retiro","Planesderetiro","1.0","planesderetiro","http://www.sat.gob.mx/esquemas/retencionpago/1/planesderetiro","http://www.sat.gob.mx/esquemas/retencionpago/1/planesderetiro/planesderetiro.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/planesderetiro/planesderetiro.xslt","RetencionComplemento"
"Premios","https://www.sat.gob.mx/consulta/65435/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-por-premios","Premios","1.0","premios","http://www.sat.gob.mx/esquemas/retencionpago/1/premios","http://www.sat.gob.mx/esquemas/retencionpago/1/premios/premios.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/premios/premios.xslt","RetencionComplemento"
"Sector Financiero","https://www.sat.gob.mx/consulta/65876/conoce-como-generar-la-factura-electronica-de-retenciones-e-informacion-de-pagos-del-sector-financiero","SectorFinanciero","1.0","sectorfinanciero","http://www.sat.gob.mx/esquemas/retencionpago/1/sectorfinanciero","http://www.sat.gob.mx/esquemas/retencionpago/1/sectorfinanciero/sectorfinanciero.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/sectorfinanciero/sectorfinanciero.xslt","RetencionComplemento"
"Servicios Plataformas Tecnológicas","https://www.sat.gob.mx/consulta/52846/complemento-servicios-de-plataformas-tecnologicas","ServiciosPlataformasTecnologicas","1.0","plataformasTecnologicas","http://www.sat.gob.mx/esquemas/retencionpago/1/PlataformasTecnologicas10","http://www.sat.gob.mx/esquemas/retencionpago/1/PlataformasTecnologicas10/ServiciosPlataformasTecnologicas10.xsd","http://www.sat.gob.mx/esquemas/retencionpago/1/PlataformasTecnologicas10/ServiciosPlataformasTecnologicas10.xslt","RetencionComplemento"
